stg,mid_age,run,metric,diversity
86,39.37,5,speciesRT,8.26
86,39.37,5,speciesBC,7.55
86,39.37,5,speciesSIB,1
86,39.37,5,genusRT,21.44
86,39.37,5,genusBC,20.87
86,39.37,5,genusSIB,1
87,35.805,5,speciesRT,20.08
87,35.805,5,speciesBC,7.65
87,35.805,5,speciesSIB,17.83
87,35.805,5,genusRT,38.41
87,35.805,5,genusBC,20.77
87,35.805,5,genusSIB,29.19
88,30.595,5,speciesRT,11.91
88,30.595,5,speciesBC,4.13
88,30.595,5,speciesSIB,9.01
88,30.595,5,genusRT,26.52
88,30.595,5,genusBC,15.58
88,30.595,5,genusSIB,15.4
89,25.165,5,speciesRT,6.35
89,25.165,5,speciesBC,5.37
89,25.165,5,speciesSIB,1.2
89,25.165,5,genusRT,17.27
89,25.165,5,genusBC,16.25
89,25.165,5,genusSIB,1.22
90,19.515,5,speciesRT,17.67
90,19.515,5,speciesBC,5.51
90,19.515,5,speciesSIB,14.69
90,19.515,5,genusRT,34.1
90,19.515,5,genusBC,16.39
90,19.515,5,genusSIB,24.7
91,13.81,5,speciesRT,16.22
91,13.81,5,speciesBC,8.55
91,13.81,5,speciesSIB,11.86
91,13.81,5,genusRT,28.88
91,13.81,5,genusBC,18.23
91,13.81,5,genusSIB,19.02
92,8.48,5,speciesRT,16.84
92,8.48,5,speciesBC,7.98
92,8.48,5,speciesSIB,13.71
92,8.48,5,genusRT,25.64
92,8.48,5,genusBC,15.74
92,8.48,5,genusSIB,19.39
93,3.96,5,speciesRT,11.41
93,3.96,5,speciesBC,6.58
93,3.96,5,speciesSIB,9.2
93,3.96,5,genusRT,17.11
93,3.96,5,genusBC,11.67
93,3.96,5,genusSIB,12.88
94,1.30085,5,speciesRT,11.64
94,1.30085,5,speciesBC,3.43
94,1.30085,5,speciesSIB,11.64
94,1.30085,5,genusRT,15.43
94,1.30085,5,genusBC,6.4
94,1.30085,5,genusSIB,15.43
70,140.4,6,speciesRT,NA
70,140.4,6,speciesBC,NA
70,140.4,6,speciesSIB,NA
70,140.4,6,genusRT,21.69
70,140.4,6,genusBC,0.22
70,140.4,6,genusSIB,21.47
71,135.15,6,speciesRT,1.25
71,135.15,6,speciesBC,0.25
71,135.15,6,speciesSIB,1
71,135.15,6,genusRT,5.99
71,135.15,6,genusBC,5.44
71,135.15,6,genusSIB,1
72,129.55,6,speciesRT,5.96
72,129.55,6,speciesBC,0.74
72,129.55,6,speciesSIB,5.59
72,129.55,6,genusRT,13.55
72,129.55,6,genusBC,5.46
72,129.55,6,genusSIB,9.66
73,123.95,6,speciesRT,2.79
73,123.95,6,speciesBC,2.05
73,123.95,6,speciesSIB,1
73,123.95,6,genusRT,8.6
73,123.95,6,genusBC,7.99
73,123.95,6,genusSIB,1
74,117.3,6,speciesRT,8.38
74,117.3,6,speciesBC,2.07
74,117.3,6,speciesSIB,7.07
74,117.3,6,genusRT,18.05
74,117.3,6,genusBC,7.98
74,117.3,6,genusSIB,12.65
75,106.85,6,speciesRT,12.28
75,106.85,6,speciesBC,3.2
75,106.85,6,speciesSIB,10.93
75,106.85,6,genusRT,22.89
75,106.85,6,genusBC,10.88
